DATE,HT,AT,HS,AS,Q1H,Q1A,Q2H,Q2A,Q3H,Q3A,Q4H,Q4A,P1H,P1A,P2H,P2A,P1T,P2T,HTT,FTT
19.05.2019,Anadolu Efes SK,CSKA Moscow,83,91,20,29,22,15,20,24,21,23,42,44,41,47,86,88,86,174
19.05.2019,Fenerbahce Ulker,Real Madrid,5,94,16,24,24,14,23,31,12,25,40,38,35,56,78,91,78,169
17.05.2019,CSKA Moscow,Real Madrid,95,90,18,22,25,23,22,28,30,17,43,45,52,45,88,97,88,185
17.05.2019,Fenerbahce Ulker,Anadolu Efes SK,73,92,20,19,20,26,17,23,16,24,40,45,33,47,85,80,85,165
01.05.2019,Anadolu Efes SK,Barcelona,80,71,23,28,24,14,14,15,19,14,47,42,33,29,89,62,89,151
26.04.2019,Barcelona,Anadolu Efes SK,82,72,15,22,21,16,27,12,19,22,36,38,46,34,74,80,74,154
26.04.2019,Baskonia,CSKA Moscow,83,92,22,20,26,19,23,29,12,24,48,39,35,53,87,88,87,175
25.04.2019,Zalgiris Kaunas,Fenerbahce Ulker,82,99,16,30,25,19,20,23,21,27,41,49,41,50,90,91,90,181
24.04.2019,Barcelona,Anadolu Efes SK,68,102,20,26,19,26,18,32,11,18,39,52,29,50,91,79,91,170
24.04.2019,Baskonia,CSKA Moscow,77,84,18,28,21,18,20,16,18,22,39,46,38,38,85,76,85,161
23.04.2019,Panathinaikos,Real Madrid,82,89,18,23,23,13,17,22,24,31,41,36,41,53,77,94,77,171
23.04.2019,Zalgiris Kaunas,Fenerbahce Ulker,57,66,19,15,15,16,12,18,11,17,34,31,23,35,65,58,65,123
19.04.2019,Real Madrid,Panathinaikos,78,63,21,8,14,18,26,15,17,22,35,26,43,37,61,80,61,141
19.04.2019,Anadolu Efes SK,Barcelona,72,74,16,19,18,19,25,24,13,12,34,38,38,36,72,74,72,146
18.04.2019,Fenerbahce Ulker,Zalgiris Kaunas,80,82,21,20,18,26,19,27,22,9,39,46,41,36,85,77,85,162
18.04.2019,CSKA Moscow,Baskonia,68,78,18,27,19,15,15,24,16,12,37,42,31,36,79,67,79,146
17.04.2019,Real Madrid,Panathinaikos,75,72,21,17,22,18,15,17,17,20,43,35,32,37,78,69,78,147
17.04.2019,Anadolu Efes SK,Barcelona,75,68,26,15,14,21,18,13,17,19,40,36,35,32,76,67,76,143
16.04.2019,Fenerbahce Ulker,Zalgiris Kaunas,76,43,15,13,23,8,21,14,17,8,38,21,38,22,59,60,59,119
16.04.2019,CSKA Moscow,Baskonia,94,68,23,24,21,16,29,12,21,16,44,40,50,28,84,78,84,162
05.04.2019,Barcelona,Khimki,83,74,21,32,23,11,10,15,29,16,44,43,39,31,87,70,87,157
05.04.2019,Olympiacos,Darussafaka Ct,99,74,20,28,25,16,30,12,24,18,45,44,54,30,89,84,89,173
05.04.2019,Bayern,Gran Canaria,84,77,26,20,18,15,29,18,11,24,44,35,40,42,79,82,79,161
05.04.2019,Fenerbahce Ulker,Maccabi Tel Aviv,78,75,20,20,21,21,10,18,27,16,41,41,37,34,82,71,82,153
04.04.2019,Real Madrid,Zalgiris Kaunas,86,93,27,25,10,21,23,20,26,27,37,46,49,47,83,96,83,179
04.04.2019,Panathinaikos,Buducnost,87,67,23,21,26,15,17,20,21,11,49,36,38,31,85,69,85,154
04.04.2019,Anadolu Efes SK,Olimpia Milano,101,95,24,20,18,33,32,16,27,26,42,53,59,42,95,101,95,196
04.04.2019,CSKA Moscow,Baskonia,82,78,17,21,23,23,15,22,27,12,40,44,42,34,84,76,84,160
29.03.2019,Baskonia,Anadolu Efes SK,92,102,26,30,27,18,14,26,25,28,53,48,39,54,101,93,101,194
29.03.2019,Olympiacos,Zalgiris Kaunas,68,72,18,16,20,18,13,14,17,24,38,34,30,38,72,68,72,140
29.03.2019,Darussafaka Ct,Bayern,92,87,14,27,30,23,21,17,27,20,44,50,48,37,94,85,94,179
29.03.2019,Khimki,CSKA Moscow,72,80,15,23,22,26,14,15,21,16,37,49,35,31,86,66,86,152
28.03.2019,Barcelona,Buducnost,95,83,21,22,23,24,28,23,23,14,44,46,51,37,90,88,90,178
28.03.2019,Olimpia Milano,Fenerbahce Ulker,90,104,17,22,25,30,26,21,22,31,42,52,48,52,94,100,94,194
28.03.2019,Maccabi Tel Aviv,Gran Canaria,90,55,21,9,27,21,16,15,26,10,48,30,42,25,78,67,78,145
28.03.2019,Panathinaikos,Real Madrid,73,74,32,14,13,19,14,20,14,21,45,33,28,41,78,69,78,147
22.03.2019,Olimpia Milano,Panathinaikos,83,95,20,23,27,21,17,28,19,23,47,44,36,51,91,87,91,178
22.03.2019,Baskonia,Real Madrid,86,76,22,18,17,18,25,17,22,23,39,36,47,40,75,87,75,162
22.03.2019,Zalgiris Kaunas,Darussafaka Ct,94,67,22,18,27,12,19,16,26,21,49,30,45,37,79,82,79,161
22.03.2019,Khimki,Maccabi Tel Aviv,71,76,24,15,15,25,16,19,16,17,39,40,32,36,79,68,79,147
21.03.2019,Gran Canaria,Olympiacos,90,67,19,16,21,14,29,16,21,21,40,30,50,37,70,87,70,157
21.03.2019,Bayern,Barcelona,73,71,18,19,14,17,17,20,24,15,32,36,41,35,68,76,68,144
21.03.2019,Buducnost,Anadolu Efes SK,84,91,19,27,21,26,18,18,26,20,40,53,44,38,93,82,93,175
21.03.2019,CSKA Moscow,Fenerbahce Ulker,70,68,14,18,22,17,16,13,18,20,36,35,34,33,71,67,71,138
20.03.2019,Real Madrid,Olimpia Milano,92,89,19,33,31,23,24,19,18,14,50,56,42,33,106,75,106,181
20.03.2019,Maccabi Tel Aviv,Zalgiris Kaunas,83,85,23,19,22,17,14,21,24,28,45,36,38,49,81,87,81,168
20.03.2019,Panathinaikos,Baskonia,72,70,26,10,22,17,8,21,16,22,48,27,24,43,75,67,75,142
20.03.2019,Darussafaka Ct,Khimki,91,85,17,23,31,23,15,19,28,20,48,46,43,39,94,82,94,176
19.03.2019,Barcelona,Gran Canaria,93,64,22,19,16,16,25,11,30,18,38,35,55,29,73,84,73,157
19.03.2019,Olympiacos,Bayern,89,69,20,10,30,21,22,17,17,21,50,31,39,38,81,77,81,158
19.03.2019,Fenerbahce Ulker,Buducnost,76,67,19,16,17,23,22,19,18,9,36,39,40,28,75,68,75,143
19.03.2019,Anadolu Efes SK,CSKA Moscow,78,80,20,15,15,25,23,21,20,19,35,40,43,40,75,83,75,158
15.03.2019,Baskonia,Buducnost,82,62,23,15,16,19,25,15,18,13,39,34,43,28,73,71,73,144
15.03.2019,Fenerbahce Ulker,Barcelona,88,82,16,23,21,15,15,23,36,21,37,38,51,44,75,95,75,170
15.03.2019,CSKA Moscow,Panathinaikos,77,78,20,18,21,17,18,23,18,20,41,35,36,43,76,79,76,155
14.03.2019,Gran Canaria,Darussafaka Ct,84,64,15,18,22,12,23,17,24,17,37,30,47,34,67,81,67,148
14.03.2019,Olimpia Milano,Olympiacos,66,57,19,10,4,13,26,16,17,18,23,23,43,34,46,77,46,123
14.03.2019,Maccabi Tel Aviv,Anadolu Efes SK,71,79,18,13,23,26,17,19,13,21,41,39,30,40,80,70,80,150
14.03.2019,Zalgiris Kaunas,Bayern,85,79,22,20,26,15,21,18,16,26,48,35,37,44,83,81,83,164
14.03.2019,Khimki,Real Madrid,75,100,22,24,16,27,12,19,25,30,38,51,37,49,89,86,89,175
08.03.2019,Baskonia,Khimki,104,86,22,17,18,24,38,16,26,29,40,41,64,45,81,109,81,190
08.03.2019,Buducnost,Olympiacos,76,89,21,27,13,24,20,22,22,16,34,51,42,38,85,80,85,165
08.03.2019,Anadolu Efes SK,Barcelona,92,70,24,12,18,19,22,22,28,17,42,31,50,39,73,89,73,162
08.03.2019,CSKA Moscow,Olimpia Milano,101,95,27,24,24,19,25,23,25,29,51,43,50,52,94,102,94,196
07.03.2019,Real Madrid,Fenerbahce Ulker,101,86,27,25,25,20,25,16,24,25,52,45,49,41,97,90,97,187
07.03.2019,Bayern,Maccabi Tel Aviv,70,77,17,18,14,15,16,25,23,19,31,33,39,44,64,83,64,147
07.03.2019,Zalgiris Kaunas,Gran Canaria,98,64,25,10,21,17,31,18,21,19,46,27,52,37,73,89,73,162
07.03.2019,Darussafaka Ct,Panathinaikos,67,91,17,20,20,26,16,20,14,25,37,46,30,45,83,75,83,158
01.03.2019,Barcelona,Real Madrid,77,70,16,17,26,20,14,14,21,19,42,37,35,33,79,68,79,147
01.03.2019,Olympiacos,CSKA Moscow,81,97,23,21,27,30,14,21,17,25,50,51,31,46,101,77,101,178
01.03.2019,Buducnost,Bayern,75,89,17,25,27,16,15,25,16,23,44,41,31,48,85,79,85,164
28.02.2019,Gran Canaria,Panathinaikos,80,99,26,28,19,22,21,23,14,26,45,50,35,49,95,84,95,179
28.02.2019,Baskonia,Zalgiris Kaunas,80,73,17,12,23,13,19,27,21,21,40,25,40,48,65,88,65,153
28.02.2019,Maccabi Tel Aviv,Darussafaka Ct,77,58,18,10,20,13,19,18,20,17,38,23,39,35,61,74,61,135
28.02.2019,Fenerbahce Ulker,Anadolu Efes SK,84,66,20,17,23,12,14,18,27,19,43,29,41,37,72,78,72,150
28.02.2019,Khimki,Olimpia Milano,88,90,25,20,29,25,19,20,15,25,54,45,34,45,99,79,99,178
22.02.2019,Real Madrid,Bayern,91,78,22,17,20,22,29,13,20,26,42,39,49,39,81,88,81,169
22.02.2019,Panathinaikos,Khimki,94,85,33,21,32,29,13,17,16,18,65,50,29,35,115,64,115,179
22.02.2019,Zalgiris Kaunas,Buducnost,84,76,20,18,19,18,21,26,24,14,39,36,45,40,75,85,75,160
22.02.2019,Darussafaka Ct,Fenerbahce Ulker,75,97,12,26,23,20,13,27,27,24,35,46,40,51,81,91,81,172
21.02.2019,Barcelona,Baskonia,77,67,22,9,24,17,16,19,15,22,46,26,31,41,72,72,72,144
21.02.2019,Olimpia Milano,Maccabi Tel Aviv,87,83,20,22,27,25,17,15,23,21,47,47,40,36,94,76,94,170
21.02.2019,Anadolu Efes SK,Olympiacos,75,65,18,22,18,13,20,14,19,16,36,35,39,30,71,69,71,140
21.02.2019,CSKA Moscow,Gran Canaria,107,85,29,20,27,22,27,22,24,21,56,42,51,43,98,94,98,192
08.02.2019,Olimpia Milano,Darussafaka Ct,90,78,19,17,21,19,20,25,30,17,40,36,50,42,76,92,76,168
08.02.2019,Baskonia,Bayern,76,68,19,16,19,21,21,16,17,15,38,37,38,31,75,69,75,144
08.02.2019,Fenerbahce Ulker,Panathinaikos,85,66,24,18,24,11,15,17,22,20,48,29,37,37,77,74,77,151
08.02.2019,CSKA Moscow,Real Madrid,82,78,22,20,12,20,30,21,18,17,34,40,48,38,74,86,74,160
07.02.2019,Barcelona,Zalgiris Kaunas,78,72,23,20,22,18,15,24,18,10,45,38,33,34,83,67,83,150
07.02.2019,Maccabi Tel Aviv,Olympiacos,65,64,14,16,12,13,19,13,20,22,26,29,39,35,55,74,55,129
07.02.2019,Buducnost,Khimki,90,98,20,22,26,23,19,23,25,30,46,45,44,53,91,97,91,188
07.02.2019,Anadolu Efes SK,Gran Canaria,93,74,26,19,17,27,26,14,24,14,43,46,50,28,89,78,89,167
01.02.2019,Gran Canaria,Olimpia Milano,104,106,28,27,18,12,21,29,22,21,46,39,43,50,85,93,85,178
01.02.2019,Panathinaikos,Anadolu Efes SK,88,75,24,16,18,21,19,19,27,19,42,37,46,38,79,84,79,163
01.02.2019,Darussafaka Ct,Real Madrid,82,86,16,23,22,30,21,19,23,14,38,53,44,33,91,77,91,168
01.02.2019,CSKA Moscow,Buducnost,99,69,28,20,24,27,20,14,27,8,52,47,47,22,99,69,99,168
31.01.2019,Baskonia,Maccabi Tel Aviv,97,73,26,18,28,23,27,16,16,16,54,41,43,32,95,75,95,170
31.01.2019,Bayern,Fenerbahce Ulker,90,86,20,21,9,13,23,18,14,14,29,34,37,32,63,69,63,132
31.01.2019,Olympiacos,Barcelona,55,76,6,27,22,11,15,17,12,21,28,38,27,38,66,65,66,131
31.01.2019,Khimki,Zalgiris Kaunas,74,64,19,17,17,20,11,19,27,8,36,37,38,27,73,65,73,138
25.01.2019,Barcelona,CSKA Moscow,76,84,20,20,21,24,20,19,15,21,41,44,35,40,85,75,85,160
25.01.2019,Buducnost,Gran Canaria,75,70,27,24,9,14,25,19,14,13,36,38,39,32,74,71,74,145
25.01.2019,Darussafaka Ct,Baskonia,80,75,21,29,24,18,18,14,17,14,45,47,35,28,92,63,92,155
25.01.2019,Khimki,Bayern,60,71,28,10,12,25,10,21,10,15,40,35,20,36,75,56,75,131
24.01.2019,Real Madrid,Anadolu Efes SK,92,84,21,21,21,21,22,19,28,23,42,42,50,42,84,92,84,176
24.01.2019,Olimpia Milano,Zalgiris Kaunas,80,70,21,13,13,17,18,20,28,20,34,30,46,40,64,86,64,150
24.01.2019,Maccabi Tel Aviv,Panathinaikos,84,75,16,17,24,18,22,19,22,21,40,35,44,40,75,84,75,159
24.01.2019,Fenerbahce Ulker,Olympiacos,90,75,21,15,19,13,28,26,22,21,40,28,50,47,68,97,68,165
18.01.2019,Baskonia,Olimpia Milano,80,75,16,21,26,28,20,10,18,16,42,49,38,26,91,64,91,155
18.01.2019,Buducnost,Real Madrid,73,60,19,15,17,13,20,20,17,12,36,28,37,32,64,69,64,133
18.01.2019,Zalgiris Kaunas,Panathinaikos,82,69,13,19,20,18,19,14,30,18,33,37,49,32,70,81,70,151
18.01.2019,Anadolu Efes SK,Darussafaka Ct,82,68,21,14,24,11,21,20,16,23,45,25,37,43,70,80,70,150
17.01.2019,Gran Canaria,Fenerbahce Ulker,64,82,19,24,13,20,19,12,13,26,32,44,32,38,76,70,76,146
17.01.2019,Maccabi Tel Aviv,Barcelona,99,83,23,20,34,15,28,17,14,31,57,35,42,48,92,90,92,182
17.01.2019,Olympiacos,Khimki,71,57,20,11,12,11,23,14,16,21,32,22,39,35,54,74,54,128
